mes_ano,ABRANGENCI,notificacoes
202201,ANCHIETA,53
202201,CAIC,47
202201,CENTRAL,91
202201,CIDADE JARDIM,62
202201,ELDORADO,63
202201,ENGENHEIRO SCHMITT,27
202201,ESTORIL,125
202201,FRATERNIDADE,15
202201,GABRIELA,47
202201,GONZAGA DE CAMPOS,37
202201,JAGUARE,74
202201,JARDIM AMERICANO,43
202201,LEALDADE E AMIZADE,30
202201,LUZ DA ESPERANCA,47
202201,MARIA LUCIA,100
202201,NOVA ESPERANCA,31
202201,PARQUE DA CIDADANIA,28
202201,PARQUE INDUSTRIAL,103
202201,RENASCER,23
202201,RIO PRETO I,31
202201,SANTO ANTONIO,65
202201,SAO DEOCLECIANO,82
202201,SAO FRANCISCO,126
202201,SOLO SAGRADO,110
202201,TALHADO,18
202201,VETORAZZO,95
202201,VILA ELVIRA,31
202201,VILA MAYOR,50
202201,VILA TONINHO,77
202202,ANCHIETA,50
202202,CAIC,61
202202,CENTRAL,118
202202,CIDADE JARDIM,77
202202,ELDORADO,85
202202,ENGENHEIRO SCHMITT,28
202202,ESTORIL,153
202202,FRATERNIDADE,18
202202,GABRIELA,76
202202,GONZAGA DE CAMPOS,51
202202,JAGUARE,89
202202,JARDIM AMERICANO,33
202202,LEALDADE E AMIZADE,68
202202,LUZ DA ESPERANCA,60
202202,MARIA LUCIA,123
202202,NOVA ESPERANCA,26
202202,PARQUE DA CIDADANIA,18
202202,PARQUE INDUSTRIAL,116
202202,RENASCER,34
202202,RIO PRETO I,74
202202,SANTO ANTONIO,63
202202,SAO DEOCLECIANO,93
202202,SAO FRANCISCO,141
202202,SOLO SAGRADO,112
202202,TALHADO,44
202202,VETORAZZO,143
202202,VILA ELVIRA,44
202202,VILA MAYOR,57
202202,VILA TONINHO,134
202203,ANCHIETA,152
202203,CAIC,123
202203,CENTRAL,258
202203,CIDADE JARDIM,203
202203,ELDORADO,272
202203,ENGENHEIRO SCHMITT,93
202203,ESTORIL,380
202203,FRATERNIDADE,56
202203,GABRIELA,184
202203,GONZAGA DE CAMPOS,164
202203,JAGUARE,223
202203,JARDIM AMERICANO,124
202203,LEALDADE E AMIZADE,135
202203,LUZ DA ESPERANCA,175
202203,MARIA LUCIA,291
202203,NOVA ESPERANCA,73
202203,PARQUE DA CIDADANIA,75
202203,PARQUE INDUSTRIAL,295
202203,RENASCER,90
202203,RIO PRETO I,126
202203,SANTO ANTONIO,205
202203,SAO DEOCLECIANO,253
202203,SAO FRANCISCO,385
202203,SOLO SAGRADO,310
202203,TALHADO,69
202203,VETORAZZO,433
202203,VILA ELVIRA,119
202203,VILA MAYOR,146
202203,VILA TONINHO,305
202204,ANCHIETA,248
202204,CAIC,209
202204,CENTRAL,451
202204,CIDADE JARDIM,286
202204,ELDORADO,255
202204,ENGENHEIRO SCHMITT,143
202204,ESTORIL,631
202204,FRATERNIDADE,79
202204,GABRIELA,281
202204,GONZAGA DE CAMPOS,203
202204,JAGUARE,345
202204,JARDIM AMERICANO,218
202204,LEALDADE E AMIZADE,199
202204,LUZ DA ESPERANCA,226
202204,MARIA LUCIA,529
202204,NOVA ESPERANCA,126
202204,PARQUE DA CIDADANIA,124
202204,PARQUE INDUSTRIAL,388
202204,RENASCER,186
202204,RIO PRETO I,197
202204,SANTO ANTONIO,363
202204,SAO DEOCLECIANO,382
202204,SAO FRANCISCO,630
202204,SOLO SAGRADO,498
202204,TALHADO,113
202204,VETORAZZO,583
202204,VILA ELVIRA,185
202204,VILA MAYOR,207
202204,VILA TONINHO,341
202205,ANCHIETA,266
202205,CAIC,229
202205,CENTRAL,363
202205,CIDADE JARDIM,293
202205,ELDORADO,236
202205,ENGENHEIRO SCHMITT,201
202205,ESTORIL,501
202205,FRATERNIDADE,82
202205,GABRIELA,230
202205,GONZAGA DE CAMPOS,182
202205,JAGUARE,349
202205,JARDIM AMERICANO,222
202205,LEALDADE E AMIZADE,181
202205,LUZ DA ESPERANCA,220
202205,MARIA LUCIA,466
202205,NOVA ESPERANCA,116
202205,PARQUE DA CIDADANIA,94
202205,PARQUE INDUSTRIAL,341
202205,RENASCER,134
202205,RIO PRETO I,179
202205,SANTO ANTONIO,329
202205,SAO DEOCLECIANO,416
202205,SAO FRANCISCO,530
202205,SOLO SAGRADO,427
202205,TALHADO,87
202205,VETORAZZO,463
202205,VILA ELVIRA,168
202205,VILA MAYOR,196
202205,VILA TONINHO,348
202206,ANCHIETA,104
202206,CAIC,89
202206,CENTRAL,168
202206,CIDADE JARDIM,97
202206,ELDORADO,94
202206,ENGENHEIRO SCHMITT,63
202206,ESTORIL,172
202206,FRATERNIDADE,19
202206,GABRIELA,85
202206,GONZAGA DE CAMPOS,55
202206,JAGUARE,153
202206,JARDIM AMERICANO,78
202206,LEALDADE E AMIZADE,82
202206,LUZ DA ESPERANCA,78
202206,MARIA LUCIA,181
202206,NOVA ESPERANCA,64
202206,PARQUE DA CIDADANIA,59
202206,PARQUE INDUSTRIAL,161
202206,RENASCER,43
202206,RIO PRETO I,67
202206,SANTO ANTONIO,144
202206,SAO DEOCLECIANO,146
202206,SAO FRANCISCO,171
202206,SOLO SAGRADO,171
202206,TALHADO,51
202206,VETORAZZO,161
202206,VILA ELVIRA,93
202206,VILA MAYOR,78
202206,VILA TONINHO,128
202207,ANCHIETA,46
202207,CAIC,45
202207,CENTRAL,64
202207,CIDADE JARDIM,41
202207,ELDORADO,52
202207,ENGENHEIRO SCHMITT,29
202207,ESTORIL,83
202207,FRATERNIDADE,9
202207,GABRIELA,46
202207,GONZAGA DE CAMPOS,28
202207,JAGUARE,54
202207,JARDIM AMERICANO,37
202207,LEALDADE E AMIZADE,29
202207,LUZ DA ESPERANCA,40
202207,MARIA LUCIA,117
202207,NOVA ESPERANCA,30
202207,PARQUE DA CIDADANIA,23
202207,PARQUE INDUSTRIAL,81
202207,RENASCER,35
202207,RIO PRETO I,38
202207,SANTO ANTONIO,101
202207,SAO DEOCLECIANO,69
202207,SAO FRANCISCO,83
202207,SOLO SAGRADO,105
202207,TALHADO,18
202207,VETORAZZO,89
202207,VILA ELVIRA,44
202207,VILA MAYOR,38
202207,VILA TONINHO,59
202208,ANCHIETA,37
202208,CAIC,23
202208,CENTRAL,28
202208,CIDADE JARDIM,41
202208,ELDORADO,32
202208,ENGENHEIRO SCHMITT,19
202208,ESTORIL,58
202208,FRATERNIDADE,9
202208,GABRIELA,19
202208,GONZAGA DE CAMPOS,14
202208,JAGUARE,50
202208,JARDIM AMERICANO,27
202208,LEALDADE E AMIZADE,18
202208,LUZ DA ESPERANCA,28
202208,MARIA LUCIA,69
202208,NOVA ESPERANCA,17
202208,PARQUE DA CIDADANIA,19
202208,PARQUE INDUSTRIAL,34
202208,RENASCER,25
202208,RIO PRETO I,24
202208,SANTO ANTONIO,64
202208,SAO DEOCLECIANO,51
202208,SAO FRANCISCO,70
202208,SOLO SAGRADO,55
202208,TALHADO,10
202208,VETORAZZO,43
202208,VILA ELVIRA,22
202208,VILA MAYOR,30
202208,VILA TONINHO,41
202209,ANCHIETA,27
202209,CAIC,28
202209,CENTRAL,41
202209,CIDADE JARDIM,35
202209,ELDORADO,30
202209,ENGENHEIRO SCHMITT,22
202209,ESTORIL,54
202209,FRATERNIDADE,15
202209,GABRIELA,32
202209,GONZAGA DE CAMPOS,21
202209,JAGUARE,39
202209,JARDIM AMERICANO,20
202209,LEALDADE E AMIZADE,19
202209,LUZ DA ESPERANCA,23
202209,MARIA LUCIA,77
202209,NOVA ESPERANCA,19
202209,PARQUE DA CIDADANIA,17
202209,PARQUE INDUSTRIAL,42
202209,RENASCER,27
202209,RIO PRETO I,22
202209,SANTO ANTONIO,66
202209,SAO DEOCLECIANO,41
202209,SAO FRANCISCO,75
202209,SOLO SAGRADO,69
202209,TALHADO,7
202209,VETORAZZO,63
202209,VILA ELVIRA,24
202209,VILA MAYOR,31
202209,VILA TONINHO,33
202210,ANCHIETA,38
202210,CAIC,29
202210,CENTRAL,50
202210,CIDADE JARDIM,33
202210,ELDORADO,28
202210,ENGENHEIRO SCHMITT,18
202210,ESTORIL,65
202210,FRATERNIDADE,15
202210,GABRIELA,39
202210,GONZAGA DE CAMPOS,33
202210,JAGUARE,46
202210,JARDIM AMERICANO,29
202210,LEALDADE E AMIZADE,19
202210,LUZ DA ESPERANCA,30
202210,MARIA LUCIA,69
202210,NOVA ESPERANCA,15
202210,PARQUE DA CIDADANIA,13
202210,PARQUE INDUSTRIAL,61
202210,RENASCER,13
202210,RIO PRETO I,16
202210,SANTO ANTONIO,50
202210,SAO DEOCLECIANO,57
202210,SAO FRANCISCO,71
202210,SOLO SAGRADO,63
202210,TALHADO,11
202210,VETORAZZO,61
202210,VILA ELVIRA,23
202210,VILA MAYOR,27
202210,VILA TONINHO,44
202211,ANCHIETA,33
202211,CAIC,16
202211,CENTRAL,43
202211,CIDADE JARDIM,30
202211,ELDORADO,23
202211,ENGENHEIRO SCHMITT,14
202211,ESTORIL,63
202211,FRATERNIDADE,11
202211,GABRIELA,14
202211,GONZAGA DE CAMPOS,14
202211,JAGUARE,53
202211,JARDIM AMERICANO,21
202211,LEALDADE E AMIZADE,37
202211,LUZ DA ESPERANCA,26
202211,MARIA LUCIA,48
202211,NOVA ESPERANCA,12
202211,PARQUE DA CIDADANIA,16
202211,PARQUE INDUSTRIAL,50
202211,RENASCER,26
202211,RIO PRETO I,30
202211,SANTO ANTONIO,44
202211,SAO DEOCLECIANO,44
202211,SAO FRANCISCO,60
