mes_ano,notificacoes,censitario,quarteirao
202201,2,354980505000001,4456
202201,1,354980505000001,4528
202201,1,354980505000004,4448
202201,1,354980505000005,4497
202201,1,354980505000010,4568
202201,1,354980505000012,4482
202201,1,354980505000013,4552
202201,1,354980505000020,4630
202201,1,354980505000020,4676
202201,1,354980505000027,4425
202201,1,354980505000028,4427
202201,2,354980505000029,4465
202201,3,354980505000029,4542
202201,1,354980505000030,4442
202201,1,354980505000031,5101
202201,1,354980505000031,5109
202201,1,354980505000032,3993
202201,1,354980505000033,3980
202201,1,354980505000034,4067
202201,1,354980505000036,4078
202201,1,354980505000040,5362
202201,2,354980505000040,5399
202201,2,354980505000045,4594
202201,1,354980505000046,4452
202201,1,354980505000048,4475
202201,1,354980505000048,4690
202201,1,354980505000049,4433
202201,1,354980505000052,4950
202201,1,354980505000055,3985
202201,2,354980505000058,3606
202201,1,354980505000058,3636
202201,1,354980505000058,3648
202201,1,354980505000061,3046
202201,1,354980505000061,3624
202201,1,354980505000066,5194
202201,1,354980505000067,5364
202201,1,354980505000070,4625
202201,1,354980505000072,4635
202201,1,354980505000075,6074
202201,1,354980505000080,4123
202201,1,354980505000080,4124
202201,1,354980505000081,3600
202201,1,354980505000081,3609
202201,1,354980505000082,3068
202201,1,354980505000082,3077
202201,1,354980505000082,3083
202201,1,354980505000083,3088
202201,1,354980505000083,3633
202201,1,354980505000084,3037
202201,1,354980505000087,3073
202201,1,354980505000089,5265
202201,1,354980505000089,5336
202201,1,354980505000094,5033
202201,1,354980505000094,7564
202201,1,354980505000095,4978
202201,1,354980505000096,5059
202201,1,354980505000102,4161
202201,1,354980505000102,4166
202201,1,354980505000105,3598
202201,2,354980505000105,3623
202201,1,354980505000107,3042
202201,1,354980505000109,3056
202201,2,354980505000109,3081
202201,1,354980505000111,3049
202201,1,354980505000114,4307
202201,1,354980505000114,4322
202201,1,354980505000114,4323
202201,1,354980505000115,4313
202201,1,354980505000115,4330
202201,1,354980505000116,4379
202201,1,354980505000118,4345
202201,1,354980505000118,4383
202201,1,354980505000119,4310
202201,1,354980505000119,4335
202201,1,354980505000119,4336
202201,1,354980505000127,5447
202201,1,354980505000127,5449
202201,1,354980505000129,5448
202201,1,354980505000130,5459
202201,1,354980505000134,5674
202201,1,354980505000134,5721
202201,1,354980505000139,5561
202201,1,354980505000140,6249
202201,1,354980505000142,6231
202201,1,354980505000145,5567
202201,1,354980505000148,5580
202201,1,354980505000148,5736
202201,2,354980505000149,5556
202201,1,354980505000157,6237
202201,1,354980505000157,6253
202201,1,354980505000158,6224
202201,1,354980505000166,5595
202201,1,354980505000166,5596
202201,1,354980505000166,5691
202201,1,354980505000169,5657
202201,1,354980505000169,5850
202201,1,354980505000171,5876
202201,2,354980505000171,5877
202201,1,354980505000174,6172
202201,1,354980505000178,6157
202201,1,354980505000178,6212
202201,1,354980505000179,6385
202201,2,354980505000180,6380
202201,1,354980505000182,6359
202201,1,354980505000184,6375
202201,1,354980505000187,10407
202201,1,354980505000191,7106
202201,3,354980505000193,6492
202201,1,354980505000193,6495
202201,1,354980505000193,6496
202201,1,354980505000193,6498
202201,2,354980505000201,5813
202201,1,354980505000204,5795
202201,1,354980505000208,1196
202201,1,354980505000209,1173
202201,1,354980505000210,1250
202201,1,354980505000210,1265
202201,1,354980505000211,2645
202201,1,354980505000213,1291
202201,1,354980505000214,1191
202201,1,354980505000215,2382
202201,1,354980505000216,1188
202201,1,354980505000216,1223
202201,2,354980505000216,1251
202201,1,354980505000216,1256
202201,1,354980505000218,1274
202201,1,354980505000221,2663
202201,1,354980505000222,4548
202201,1,354980505000225,1290
202201,1,354980505000226,1298
202201,1,354980505000227,2355
202201,1,354980505000230,2264
202201,3,354980505000232,2356
202201,1,354980505000234,1246
202201,1,354980505000235,2660
