mes_ano,ABRANGENCI,notificacoes
202312,ANCHIETA,24
202312,CAIC,26
202312,CENTRAL,40
202312,CIDADE JARDIM,22
202312,ELDORADO,19
202312,ENGENHEIRO SCHMITT,18
202312,ESTORIL,43
202312,FRATERNIDADE,7
202312,GABRIELA,14
202312,GONZAGA DE CAMPOS,8
202312,JAGUARE,28
202312,JARDIM AMERICANO,19
202312,LEALDADE E AMIZADE,12
202312,LUZ DA ESPERANCA,22
202312,MARIA LUCIA,39
202312,NOVA ESPERANCA,14
202312,PARQUE DA CIDADANIA,13
202312,PARQUE INDUSTRIAL,46
202312,RENASCER,20
202312,RIO PRETO I,23
202312,SANTO ANTONIO,35
202312,SAO DEOCLECIANO,40
202312,SAO FRANCISCO,36
202312,SOLO SAGRADO,34
202312,TALHADO,18
202312,VETORAZZO,34
202312,VILA ELVIRA,31
202312,VILA MAYOR,16
202312,VILA TONINHO,30
